index,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,HolidayName,IsHoliday,Accumulated Hours of Rain
178,329.0,14.0,78.7,89.0,15.59,29.0,100,0.0,1014.0,79.0,17.3,0.8,1.66,Ngày thường,False,0
179,343.4,16.0,75.3,96.0,16.83,33.0,100,0.0,1014.0,83.0,17.0,0.0,1.33,Ngày thường,False,0
180,357.7,18.0,72.0,103.0,18.07,37.0,100,0.0,1014.0,87.0,16.7,0.0,1.0,Ngày thường,False,0
181,361.6,17.7,76.3,101.3,17.74,40.0,100,0.0,1015.0,87.0,16.8,0.0,2.4,Ngày thường,False,0
182,365.5,17.3,80.7,99.7,17.41,43.0,100,0.0,1015.0,88.0,16.8,0.0,2.4,Ngày thường,False,0
183,369.4,17.0,85.0,98.0,17.08,46.0,100,0.0,1016.0,89.0,16.9,0.0,2.0,Ngày thường,False,0
184,391.4,20.0,82.0,106.7,18.64,54.7,100,0.0,1016.0,89.0,16.8,0.0,1.2,Ngày thường,False,0
185,413.4,23.0,79.0,115.3,20.21,63.3,100,0.0,1016.0,90.0,16.8,0.0,1.2,Ngày thường,False,0
186,435.4,26.0,76.0,124.0,21.78,72.0,100,0.0,1016.0,91.0,16.7,0.0,1.2,Ngày thường,False,0
187,466.9,28.3,69.3,136.7,24.01,72.7,100,0.25,1015.0,92.0,16.6,0.0,1.2,Ngày thường,False,1
188,498.4,30.7,62.7,149.3,26.24,73.3,100,0.0,1015.0,93.0,16.4,0.0,0.8,Ngày thường,False,0
189,529.9,33.0,56.0,162.0,28.46,74.0,100,0.0,1014.0,94.0,16.3,0.0,0.4,Ngày thường,False,0
190,510.3,30.3,55.7,154.0,27.06,65.3,91,0.0,1014.0,94.0,16.4,0.0,0.8,Ngày thường,False,0
191,490.6,27.7,55.3,146.0,25.66,56.7,83,0.0,1015.0,93.0,16.4,0.0,0.8,Ngày thường,False,0
192,471.0,25.0,55.0,138.0,24.26,48.0,75,0.0,1015.0,93.0,16.5,0.6,2.0,Ngày thường,False,0
193,423.7,19.7,69.7,117.0,20.54,42.7,75,0.25,1015.0,92.0,16.7,0.7,1.66,Ngày thường,False,1
194,376.4,14.3,84.3,96.0,16.83,37.3,75,1.0,1016.0,92.0,16.8,1.0,1.33,Ngày thường,False,2
195,329.2,9.0,99.0,75.0,13.12,32.0,75,0.75,1016.0,91.0,17.0,1.5,1.0,Ngày thường,False,3
196,307.0,7.7,103.3,68.0,11.96,27.0,79,1.0,1016.0,92.0,17.0,1.9,1.33,Ngày thường,False,4
197,284.8,6.3,107.7,61.0,10.81,22.0,83,0.0,1015.0,93.0,17.0,2.1,1.66,Ngày thường,False,0
198,262.6,5.0,112.0,54.0,9.65,17.0,87,0.25,1014.0,94.0,17.0,2.0,2.0,Ngày thường,False,1
199,272.7,7.0,103.3,64.3,11.38,20.0,87,0.0,1013.0,94.0,17.1,1.6,1.66,Ngày thường,False,0
200,282.9,9.0,94.7,74.7,13.12,23.0,87,0.25,1013.0,94.0,17.1,1.2,1.33,Ngày thường,False,1
201,293.0,11.0,86.0,85.0,14.85,26.0,87,2.25,1013.0,94.0,17.2,0.8,1.0,Ngày thường,False,2
202,310.1,13.7,80.7,95.7,16.83,30.3,83,2.75,1012.0,94.0,17.1,0.6,1.33,Ngày thường,False,3
203,327.2,16.3,75.3,106.3,18.81,34.7,79,2.5,1012.0,93.0,16.9,0.0,1.66,Ngày thường,False,4
204,344.3,19.0,70.0,117.0,20.79,39.0,75,3.0,1012.0,93.0,16.8,0.0,2.0,Ngày thường,False,5
205,355.4,20.0,71.3,119.7,21.2,44.3,75,3.0,1013.0,93.0,16.8,0.0,2.0,Ngày thường,False,6
206,366.5,21.0,72.7,122.3,21.61,49.7,75,3.25,1013.0,93.0,16.8,0.0,2.0,Ngày thường,False,7
207,377.6,22.0,74.0,125.0,22.03,55.0,75,3.75,1013.0,93.0,16.8,0.0,2.0,Ngày thường,False,8
